source_row,warehouse,warehouse_name,barcode,name,stock_amount,price
3,8,לשם,7290004131074,חלב קרטון 1 ליטר % 3 מהדרין(תנח),19073,7.28
4,8,לשם,7290004575540,ארטיק קרח ריאו,13605,2
5,8,לשם,7290000522319,חלב קרטון 1 לי' % 3 מחלבות רמת הגולן,10929,7.28
6,8,לשם,814,מלפפון (ביכורי שדה),9305.809,12.9
7,8,לשם,817,עגבניות חממה (ביכורי שדה),9081.518,14.9
8,8,לשם,7290004127329,קוטג' 5% 250 גר' תנוב,7782,6.5
9,8,לשם,801,בצל יבש(ביכורי שדה),7521.37,5.9
10,8,לשם,837,"תפו""א ארוזים לבן (ביכורי שדה)",6725.08,4.9
11,8,לשם,917,בננה (ביכורי שדה),6342.397,11.9
13,8,לשם,820,פלפל אדום (ביכורי שדה),5076.394,14.9
14,8,לשם,72940761,מילקי שוקולד וקצפת 170 מל,4707,3.9
16,8,לשם,934,אבטיח (ביכורי שדה ),4556.714,9.9
17,8,לשם,7290000408354,דנונה בר קראנצ' פצפוצים,4310,5.9
18,8,לשם,36,שקית סופר גלסנר,4006,0.1
19,8,לשם,803,גזר ארוז (ביכורי שדה),3972.582,5.9
20,8,לשם,835,"תפו""א אדום שק ביכורי שדה)",3912.805,5.9
21,8,לשם,7290116932033,חמאה תנובה 200 גרם(תנח),3778,9.9
22,8,לשם,7296060001009,כרעיים חצי חצי (בש),3722.387,36.9
23,8,לשם,800,בטטה מובחרת(ביכורי),3627.677,12.9
24,8,לשם,7296060000064,שניצל פרוס דק (בש),3557.248,62.9
25,8,לשם,7290018540329,פיתה פיתה,3363,13.9
26,8,לשם,7290013520067,"10 לחמניות אצבע ""אגמי""",3274,19.9
27,8,לשם,7290000207162,רסק עגבניות100 גרם(ברס),3136,2.9
28,8,לשם,7290013536181,קמח חיטה לבן -בר ולחם(עץ),2975,6.9
29,8,לשם,7290002697107,חלה מיוחדת שאשא,2930,16.9
30,8,לשם,7290000993294,שרי לובלו,2908,14.9
31,8,לשם,726529408676,חלת בוטיק,2855,13.9
32,8,לשם,833,עגבניות שרי באשכול1 (חמדת),2827.79,29.9
33,8,לשם,808,חציל חממה(/ בלדי (ביכורי שדה),2768.891,9.9
34,8,לשם,7290003706044,כוסברה (ביכורי שדה),2648,3.9
35,8,לשם,7296060001078,סטייק פרגיות (בשע),2564.896,69.9
36,8,לשם,830,קישואים א'(ביכורי שדה),2480.844,9.9
37,8,לשם,610127,"תפו""א דוד משה",2421.505,9.9
38,8,לשם,7290010828692,פיתה אסלית *10,2408,14.9
39,8,לשם,7290018500361,לחם פרוס אנג'ל 900 גר,2291,10.05
40,8,לשם,7290107944243,אפיפית 200 גרם,2220,12.9
41,8,לשם,7290010777242,פיתות עננים,2157,17.9
43,8,לשם,80052760,קינדר בואנו חום * 30,2106,4.9
44,8,לשם,7290004125738,שמנת קצפת 32% 250גרם(תנח),2105,9.9
45,8,לשם,811,כרוב לבן,2098.985,7.9
47,8,לשם,7290018732601,אבוקדו בשל מוכן לאכילה (חקלאי גרנות),2055,13.9
48,8,לשם,742259241901,ביצים 12 יחידות L,2033,14.09
49,8,לשם,7290005838002,מעדן דניאלה וניל(שטראוס),2024,4.9
50,8,לשם,7290004127336,קוטג 9% 250ג'(תנח),1997,6.5
51,8,לשם,932,תפוזים,1992.852,8.9
52,8,לשם,7290005427107,נייר מגבת הפלא שישיה סנו ילג,1992,14.9
53,8,לשם,7290000042015,חלב שקית 1 ליטר 3%(תנח),1969,6.35
55,8,לשם,7296060001016,חזה עוף שלם (בש),1902.662,52.9
57,8,לשם,7290008323178,פילה אמנון- עם עור,1855.14,24.9
58,8,לשם,909,"תפוח עץ /סמיט /גרנד""(ביכורי שדה)",1842.439,13.9
59,8,לשם,7290000000411,שום,1838,7.9
60,8,לשם,5906485301012,"פחית XL 250 24 יחי מ""ל (טמפו)",1834,4.9
61,8,לשם,80761761,קינדר בואנו לבן 30 יח' (גבי ),1830,4.9
62,8,לשם,7290110115845,קולה,1822,8.9
63,8,לשם,7290112494351,קורנפלקס תלמה אלופים,1813,21.9
64,8,לשם,919,לימון צהוב(ביכורי שדה,1799.932,10.9
65,8,לשם,7290000066264,"דובונים חטיף תפו""א (אוסם)",1783,4.9
66,8,לשם,914,אבוקדו,1763.673,14.9
67,8,לשם,7296060000019,בקר טחון חלק-100%ללא תוספות(בשר,1734.197,59.9
68,8,לשם,7290003706068,פטרוזיליה ארוז,1711,3.9
69,8,לשם,7290018527801,"פיתות עבודת יד ""שאשא זה אנחנו""",1709,13.9
70,8,לשם,945,תפוח עץ פינק ליידי (ביכורי שדה),1689.413,19.9
71,8,לשם,8411500104679,שטיח פטל אוכמניות,1674,0.5
72,8,לשם,7290001302279,במבה 60 ג אוסם,1670,3.9
73,8,לשם,7290019601128,לחמניות המבורגר 4 יח,1667,15.9
74,8,לשם,742259241956,ביצים 30 יחידות L,1654,35.22
76,8,לשם,7296060000057,שוקיים עוף (ב.ש),1626.088,36.9
77,8,לשם,7290011194246,גבינת קוטג 5% (שטראוס),1621,6.9
78,8,לשם,7290000058047,שמנת מתוקה עמידה 500 מל' % 38 (תנובה,1592,15.12
79,8,לשם,7290000048185,גבינה 5% 250ג'(תנח),1531,5.81
80,8,לשם,693493222549,שמינייה מתוקה,1494,3.9
81,8,לשם,7290008323031,פילה סלמון נורווגי/ אטלנטי (פסק,1470.042,79.9
